,time,X1c.PAR1,X1c.PAR2,X1c.PAR3,X1c.PAR4,X1c.T1,X1c.T2,X1c.T3,X1c.T4,X1c.RH1,X1c.RH2,X1c.RH3,X1c.RH4,X1b.PAR1,X1b.PAR2,X1b.PAR3,X1b.PAR4,X1b.T1,X1b.T2,X1b.T3,X1b.T4,X1b.RH1,X1b.RH2,X1b.RH3,X1b.RH4,X1p.PAR1,X1p.PAR2,X1p.PAR3,X1p.PAR4,X1p.T1,X1p.T2,X1p.T3,X1p.T4,X1p.RH1,X1p.RH2,X1p.RH3,X1p.RH4
1,0,125.73,27.25,10.03,0.07,21.28,20.19,19.95,20.42,73.57,84.02,82.35,76.94,108.89,61.9,40.1,0.06,20.45,20.22,20.63,20.9,76.2,79.18,75.33,73.52,144.9,116.96,85.2,2.73,20.49,20.62,19.99,20.31,77.79,77.01,81.93,77.98
2,1,125.76,27.25,10.14,0.07,21.28,20.18,19.95,20.4,73.67,84.04,82.35,76.91,108.93,61.9,40.1,0.06,20.45,20.26,20.6,20.89,76.2,79.21,75.36,73.58,144.97,117.03,85.24,2.73,20.5,20.62,20,20.3,77.87,77.04,82.03,77.75
3,2,125.73,27.25,9.99,0.07,21.27,20.18,19.95,20.4,73.83,84.06,82.36,76.94,108.93,61.9,40.1,0.1,20.46,20.26,20.61,20.89,76.26,79.21,75.47,73.64,144.94,116.96,85.2,2.73,20.48,20.61,19.98,20.27,77.97,77.05,82.08,77.72
4,3,125.62,27.22,9.99,0.07,21.27,20.16,19.98,20.4,74.07,84.06,82.39,76.97,108.82,61.86,40.07,0.06,20.49,20.26,20.59,20.87,76.41,79.27,75.51,73.73,144.86,116.84,85.13,2.73,20.52,20.61,19.98,20.29,78.13,77.14,82.15,77.63
5,4,125.69,27.29,9.99,0.07,21.25,20.18,19.98,20.4,74.15,84.05,82.39,77.01,108.89,61.93,40.07,0.06,20.48,20.26,20.62,20.9,76.58,79.32,75.63,73.85,144.94,116.92,85.16,2.73,20.52,20.61,19.99,20.25,78.21,77.22,82.25,77.54
6,5,125.65,27.25,9.95,0.07,21.29,20.16,19.97,20.43,74.32,84.08,82.41,77.03,108.85,61.79,40.07,0.06,20.46,20.24,20.63,20.9,76.76,79.3,75.71,73.97,144.86,116.88,85.16,2.73,20.52,20.62,20,20.26,78.17,77.29,82.34,77.52
7,6,125.69,27.29,9.95,0.07,21.29,20.16,19.94,20.43,74.48,84.07,82.37,77.03,108.89,61.82,40.1,0.06,20.45,20.28,20.64,20.91,76.83,79.39,75.75,74.09,144.97,116.96,85.2,2.73,20.5,20.62,20.01,20.26,78.15,77.35,82.43,77.45
8,7,125.69,27.25,9.99,0.07,21.29,20.14,19.99,20.44,74.66,84.07,82.44,77.02,108.89,61.79,40.07,0.06,20.46,20.26,20.62,20.9,76.97,79.43,75.73,74.12,144.86,116.96,85.2,2.73,20.53,20.62,20.01,20.28,78.17,77.4,82.51,77.48
9,8,125.65,27.25,10.1,0.07,21.27,20.19,19.96,20.42,74.8,84.08,82.41,77,108.85,61.79,40.07,0.1,20.47,20.27,20.63,20.93,77.2,79.51,75.78,74.19,144.82,116.88,85.16,2.73,20.51,20.62,20.01,20.29,78.08,77.39,82.51,77.38
10,9,125.76,27.29,9.99,0.07,21.26,20.19,19.96,20.44,74.86,83.99,82.48,76.99,108.93,61.79,40.1,0.06,20.47,20.26,20.61,20.9,77.32,79.59,75.8,74.25,144.9,117,85.2,2.73,20.51,20.62,20,20.28,78.04,77.44,82.62,77.29
11,10,125.73,27.25,9.95,0.07,21.28,20.18,19.95,20.42,75.03,83.95,82.49,76.93,108.89,61.79,40.1,0.1,20.47,20.26,20.61,20.9,77.35,79.67,75.85,74.37,144.86,116.96,85.2,2.73,20.52,20.61,20,20.28,77.97,77.49,82.7,77.2
12,11,125.69,27.25,9.95,0.07,21.26,20.15,19.97,20.41,75.24,83.91,82.52,76.96,108.82,61.75,40.07,0.1,20.48,20.27,20.61,20.9,77.29,79.74,75.91,74.4,144.79,116.88,85.16,2.73,20.51,20.6,19.99,20.28,77.94,77.54,82.76,77.16
13,12,125.69,27.29,9.95,0.07,21.26,20.19,19.98,20.42,75.47,83.93,82.59,76.99,108.85,61.79,40.07,0.06,20.48,20.26,20.62,20.89,77.23,79.83,75.98,74.44,144.82,116.88,85.16,2.73,20.53,20.61,19.99,20.3,77.96,77.61,82.83,77.01
14,13,125.8,27.29,9.95,0.07,21.26,20.16,19.96,20.44,75.69,83.84,82.58,77.03,108.93,61.82,40.1,0.1,20.49,20.26,20.64,20.93,77.15,79.86,76.05,74.49,144.97,117,85.24,2.73,20.53,20.62,20.01,20.29,77.94,77.67,82.92,76.84
15,14,125.76,27.29,9.99,0.07,21.3,20.15,19.95,20.44,75.91,83.84,82.62,77.07,108.89,61.79,40.1,0.06,20.48,20.24,20.63,20.93,77.03,79.85,76.16,74.5,144.94,116.96,85.2,2.73,20.52,20.63,20.01,20.28,77.89,77.78,82.95,76.74
16,15,125.73,27.29,9.99,0.07,21.31,20.15,19.95,20.45,76.07,83.84,82.63,77.06,108.89,61.79,40.07,0.06,20.45,20.27,20.62,20.91,77.04,79.91,76.28,74.48,144.9,116.92,85.16,2.73,20.5,20.61,20,20.27,77.87,77.79,82.91,76.72
17,16,125.69,27.29,9.99,0.07,21.3,20.16,19.96,20.43,76.19,83.92,82.63,77.04,108.85,61.79,40.07,0.06,20.47,20.25,20.6,20.88,76.96,79.96,76.26,74.45,144.9,116.92,85.2,2.73,20.53,20.63,19.98,20.29,77.91,77.84,82.89,76.9
18,17,125.76,27.25,9.99,0.07,21.29,20.17,19.93,20.44,76.31,83.99,82.61,77.06,108.93,61.82,40.1,0.06,20.47,20.25,20.63,20.92,76.86,80.02,76.44,74.49,144.94,116.96,85.24,2.73,20.5,20.62,20,20.29,77.85,77.87,82.82,77.04
19,18,125.69,27.29,9.99,0.07,21.28,20.18,19.95,20.42,76.33,84.05,82.68,77,108.89,61.79,40.07,0.06,20.46,20.27,20.62,20.88,76.84,80.05,76.51,74.46,144.86,116.92,85.2,2.73,20.5,20.61,19.97,20.28,77.87,77.93,82.73,77.24
20,19,125.69,27.25,9.99,0.07,21.3,20.18,19.96,20.42,76.52,84.11,82.67,77,108.85,61.75,40.07,0.06,20.46,20.25,20.62,20.88,76.81,80.08,76.52,74.46,144.79,116.88,85.13,2.73,20.5,20.62,19.99,20.28,77.87,77.95,82.67,77.37
21,20,125.73,27.32,9.99,0.07,21.28,20.16,19.99,20.42,76.6,84.12,82.71,76.99,108.89,61.79,40.07,0.1,20.48,20.29,20.61,20.9,76.92,80.1,76.51,74.46,144.9,116.96,85.24,2.69,20.51,20.63,19.99,20.27,77.93,77.95,82.57,77.38
22,21,125.8,27.32,10.03,0.07,21.28,20.18,19.99,20.41,76.72,84.21,82.71,77.02,108.93,61.82,40.1,0.06,20.49,20.28,20.65,20.9,77.02,80.11,76.55,74.47,144.94,117,85.27,2.73,20.51,20.63,20.01,20.26,77.93,77.92,82.57,77.53
23,22,125.8,27.32,9.99,0.07,21.28,20.16,19.98,20.44,76.83,84.28,82.71,77.03,108.97,61.82,40.1,0.06,20.49,20.28,20.66,20.92,77.08,80.04,76.55,74.47,144.97,117,85.27,2.73,20.52,20.63,20.01,20.26,77.87,77.81,82.57,77.56
24,23,125.8,27.32,9.99,0.07,21.31,20.14,19.93,20.44,76.95,84.34,82.67,77.06,108.93,61.82,40.1,0.1,20.47,20.28,20.66,20.92,77.13,79.98,76.5,74.43,144.94,116.96,85.2,2.73,20.51,20.6,20,20.27,77.81,77.76,82.59,77.57
25,24,125.76,27.29,9.99,0.07,21.31,20.14,19.98,20.43,77.04,84.44,82.71,77.11,108.93,61.82,40.1,0.06,20.49,20.25,20.65,20.91,77.28,79.95,76.45,74.36,144.97,116.92,85.2,2.73,20.49,20.62,19.98,20.26,77.79,77.75,82.57,77.53
26,25,125.87,27.32,9.99,0.07,21.3,20.17,19.94,20.39,77.09,84.57,82.68,77.08,109,61.86,40.14,0.06,20.47,20.27,20.65,20.87,77.4,79.95,76.43,74.32,145.01,117.03,85.27,2.73,20.5,20.6,20.01,20.3,77.75,77.7,82.65,77.54
27,26,125.8,27.36,9.99,0.07,21.3,20.18,19.94,20.43,77.16,84.62,82.68,77.17,108.93,61.86,40.1,0.06,20.45,20.25,20.64,20.91,77.58,79.86,76.36,74.31,144.97,117,85.24,2.73,20.5,20.61,19.99,20.3,77.61,77.71,82.7,77.53
28,27,125.83,27.32,9.99,0.07,21.28,20.18,19.95,20.4,77.14,84.71,82.68,77.2,109,61.86,40.14,0.1,20.47,20.26,20.63,20.89,77.7,79.81,76.3,74.21,145.01,117.03,85.24,2.73,20.49,20.61,19.99,20.3,77.55,77.73,82.73,77.64
29,28,125.73,27.32,10.03,0.07,21.3,20.15,19.97,20.42,77.22,84.68,82.73,77.33,108.89,61.82,40.1,0.06,20.48,20.25,20.63,20.9,77.82,79.72,76.24,74.16,144.97,116.96,85.2,2.73,20.52,20.63,19.97,20.29,77.5,77.79,82.72,77.64
30,29,125.76,27.29,9.99,0.07,21.28,20.2,19.98,20.42,77.32,84.77,82.78,77.45,108.89,61.79,40.1,0.06,20.49,20.26,20.64,20.9,77.89,79.67,76.2,74.13,144.94,117,85.2,2.73,20.52,20.61,20.01,20.31,77.48,77.78,82.7,77.7
31,30,125.69,27.32,10.03,0.07,21.28,20.18,19.98,20.43,77.39,84.86,82.78,77.51,108.85,61.79,40.07,0.06,20.5,20.23,20.62,20.9,77.94,79.64,76.12,74.06,144.9,116.96,85.2,2.73,20.52,20.61,20.01,20.32,77.46,77.83,82.63,77.7
32,31,125.65,27.36,9.99,0.07,21.29,20.18,19.97,20.46,77.51,84.88,82.83,77.57,108.82,61.75,40.07,0.06,20.5,20.27,20.64,20.93,77.98,79.63,76.1,74.06,144.82,116.92,85.16,2.73,20.52,20.58,19.99,20.28,77.42,77.81,82.56,77.72
33,32,125.69,27.32,9.99,0.07,21.32,20.17,19.94,20.45,77.69,84.94,82.81,77.53,108.89,61.79,40.07,0.06,20.49,20.28,20.64,20.92,77.95,79.59,76.04,74,144.9,116.92,85.2,2.73,20.51,20.6,19.96,20.28,77.4,77.84,82.53,77.77
34,33,125.58,27.32,9.99,0.07,21.32,20.18,19.97,20.44,77.83,85.03,82.84,77.52,108.74,61.72,40.03,0.06,20.5,20.26,20.61,20.91,77.95,79.57,76.01,73.94,144.75,116.81,85.13,2.73,20.53,20.59,19.99,20.28,77.43,77.84,82.47,77.87
35,34,125.65,27.29,9.99,0.07,21.32,20.18,19.94,20.41,77.94,85.1,82.81,77.5,108.78,61.75,40.07,0.1,20.49,20.29,20.65,20.89,77.95,79.57,76,73.91,144.86,116.88,85.16,2.73,20.51,20.6,19.97,20.3,77.38,77.84,82.35,78.08
36,35,125.69,27.32,10.03,0.07,21.31,20.19,19.94,20.43,78.01,85.15,82.81,77.49,108.82,61.79,40.07,0.06,20.48,20.27,20.62,20.92,77.9,79.52,75.88,73.92,144.86,116.88,85.16,2.73,20.5,20.58,19.96,20.32,77.38,77.8,82.25,78.29
37,36,125.58,27.29,9.99,0.07,21.28,20.18,19.92,20.4,77.99,85.16,82.79,77.48,108.74,61.79,40.03,0.06,20.5,20.28,20.62,20.89,77.98,79.45,75.8,73.85,144.75,116.81,85.13,2.73,20.49,20.61,19.96,20.31,77.34,77.84,82.18,78.49
38,37,125.65,27.29,10.03,0.07,21.32,20.18,19.97,20.41,78.08,85.16,82.84,77.42,108.82,61.82,40.07,0.06,20.51,20.28,20.62,20.89,77.96,79.4,75.72,73.79,144.79,116.84,85.16,2.73,20.52,20.62,19.99,20.28,77.35,77.81,82.06,78.51
39,38,125.58,27.29,10.03,0.07,21.29,20.18,19.98,20.4,78.05,85.19,82.84,77.35,108.74,61.75,40.03,0.1,20.5,20.29,20.64,20.89,77.94,79.31,75.66,73.77,144.79,116.84,85.13,2.73,20.52,20.62,19.99,20.32,77.34,77.78,81.98,78.7
40,39,125.62,27.29,10.03,0.07,21.3,20.17,19.98,20.44,77.99,85.18,82.84,77.32,108.74,61.75,40.07,0.06,20.5,20.28,20.64,20.9,77.88,79.24,75.58,73.75,144.82,116.84,85.13,2.73,20.53,20.59,19.99,20.29,77.31,77.75,81.91,78.88
41,40,125.62,27.29,10.03,0.07,21.29,20.18,19.97,20.43,77.79,85.19,82.83,77.33,108.74,61.72,40.03,0.06,20.48,20.27,20.64,20.91,77.86,79.15,75.52,73.74,144.75,116.81,85.09,2.73,20.52,20.62,19.97,20.29,77.37,77.76,81.87,79.09
42,41,125.54,27.29,10.07,0.07,21.3,20.16,19.95,20.44,77.53,85.14,82.81,77.33,108.74,61.82,40.03,0.06,20.5,20.28,20.63,20.92,77.87,79.06,75.49,73.74,144.71,116.77,85.09,2.73,20.5,20.58,19.99,20.29,77.34,77.68,81.85,79.24
43,42,125.58,27.25,10.07,0.07,21.31,20.18,19.96,20.41,77.2,85.19,82.82,77.32,108.74,61.82,40.03,0.06,20.47,20.27,20.61,20.9,77.79,79,75.48,73.69,144.75,116.81,85.09,2.73,20.52,20.6,19.98,20.3,77.37,77.65,81.86,79.38
44,43,125.58,27.29,10.07,0.07,21.32,20.18,19.96,20.42,76.86,85.14,82.8,77.35,108.74,61.82,40.03,0.06,20.49,20.26,20.61,20.87,77.8,78.98,75.49,73.66,144.75,116.81,85.09,2.73,20.5,20.57,19.97,20.33,77.4,77.63,81.89,79.5
45,44,125.65,27.29,10.1,0.07,21.29,20.16,19.95,20.41,76.47,85.06,82.81,77.34,108.85,61.79,40.07,0.06,20.47,20.28,20.59,20.92,77.67,78.94,75.46,73.67,144.86,116.88,85.16,2.73,20.5,20.61,19.96,20.32,77.46,77.67,81.91,79.6
46,45,125.54,27.25,9.99,0.07,21.26,20.13,19.95,20.41,76.43,85.03,82.83,77.3,108.71,61.68,40.03,0.06,20.5,20.26,20.61,20.88,77.67,78.83,75.44,73.58,144.68,116.73,85.02,2.73,20.5,20.61,19.99,20.31,77.46,77.67,82.02,79.73
47,46,125.54,27.22,10.07,0.07,21.3,20.16,19.98,20.41,76.12,85.03,82.78,77.3,108.74,61.72,40.03,0.06,20.51,20.27,20.6,20.89,77.62,78.77,75.38,73.52,144.75,116.81,85.13,2.73,20.52,20.62,19.99,20.28,77.55,77.67,82.08,79.71
48,47,125.62,27.25,10.03,0.07,21.26,20.14,19.99,20.44,75.75,84.98,82.77,77.3,108.74,61.79,40.07,0.06,20.47,20.26,20.64,20.9,77.55,78.75,75.39,73.43,144.71,116.81,85.13,2.73,20.51,20.6,20.01,20.32,77.6,77.64,82.11,79.89
49,48,125.51,27.25,9.99,0.07,21.27,20.16,19.97,20.44,75.44,84.91,82.77,77.33,108.67,61.79,40.03,0.06,20.47,20.26,20.65,20.92,77.5,78.73,75.32,73.43,144.68,116.73,85.09,2.73,20.52,20.62,19.98,20.29,77.66,77.67,82.1,80.07
50,49,125.54,27.25,9.99,0.07,21.26,20.17,19.96,20.43,75.13,84.85,82.71,77.27,108.71,61.72,40.03,0.06,20.5,20.28,20.64,20.93,77.48,78.71,75.27,73.43,144.71,116.77,85.09,2.73,20.51,20.61,20,20.3,77.75,77.62,82.14,80.25
51,50,125.54,27.25,9.99,0.07,21.27,20.18,19.99,20.43,74.87,84.82,82.7,77.2,108.74,61.68,40.03,0.06,20.49,20.29,20.62,20.92,77.41,78.71,75.23,73.42,144.68,116.77,85.09,2.69,20.51,20.61,19.99,20.29,77.77,77.54,82.12,80.44
52,51,125.54,27.25,9.99,0.07,21.28,20.18,19.96,20.39,74.65,84.77,82.69,77.16,108.71,61.64,40.03,0.06,20.46,20.28,20.63,20.92,77.36,78.71,75.24,73.39,144.68,116.77,85.05,2.73,20.52,20.59,19.98,20.29,77.83,77.44,82.08,80.58
53,52,125.14,27.18,9.92,0.07,21.28,20.19,19.95,20.44,74.46,84.71,82.62,77.21,108.33,61.46,39.89,0.06,20.46,20.26,20.61,20.89,77.37,78.67,75.16,73.35,144.19,116.39,84.77,2.69,20.51,20.63,19.99,20.33,77.88,77.37,82.02,80.71
54,53,125.03,27.18,9.92,0.07,21.27,20.19,19.95,20.4,74.25,84.65,82.61,77.17,108.3,61.43,39.85,0.06,20.47,20.28,20.61,20.93,77.38,78.68,75.14,73.37,144.12,116.27,84.73,2.69,20.52,20.62,20.01,20.33,77.94,77.27,81.91,80.83
55,54,125.14,27.25,9.92,0.07,21.24,20.18,19.95,20.4,74.19,84.65,82.56,77.21,108.37,61.46,39.89,0.06,20.48,20.25,20.61,20.9,77.37,78.64,75.12,73.34,144.23,116.43,84.8,2.69,20.53,20.63,20.02,20.32,78.02,77.19,81.72,80.88
56,55,125.43,27.29,9.99,0.07,21.27,20.18,19.98,20.39,74.12,84.57,82.58,77.21,108.59,61.61,39.99,0.06,20.49,20.25,20.62,20.91,77.36,78.57,75.08,73.31,144.53,116.69,84.98,2.69,20.54,20.59,20,20.3,78.05,77.15,81.59,80.86
57,56,125.4,27.25,9.99,0.07,21.24,20.16,19.99,20.42,73.97,84.5,82.52,77.2,108.59,61.61,39.99,0.06,20.5,20.25,20.64,20.91,77.32,78.57,75.03,73.35,144.49,116.65,84.98,2.69,20.54,20.62,20,20.33,78.05,77.1,81.51,80.89
58,57,125.4,27.29,9.99,0.07,21.24,20.14,19.97,20.41,73.85,84.44,82.51,77.2,108.59,61.64,39.99,0.06,20.47,20.26,20.63,20.94,77.29,78.54,74.97,73.36,144.56,116.65,85.02,2.69,20.53,20.58,19.99,20.29,77.99,77.05,81.46,80.86
59,58,125.43,27.29,9.95,0.07,21.24,20.14,19.95,20.43,73.71,84.45,82.47,77.27,108.63,61.64,39.99,0.06,20.5,20.28,20.64,20.95,77.32,78.53,74.95,73.39,144.64,116.65,85.02,2.73,20.52,20.6,19.96,20.29,77.92,77,81.3,80.86
60,59,125.4,27.29,9.99,0.07,21.25,20.18,19.98,20.42,73.64,84.42,82.52,77.26,108.67,61.79,39.99,0.06,20.48,20.28,20.61,20.95,77.28,78.48,74.91,73.42,144.53,116.65,84.98,2.69,20.52,20.59,19.98,20.27,77.84,76.93,81.18,80.81
61,100,125.14,27.25,9.95,0.07,21.26,20.17,19.95,20.41,73.55,84.42,82.48,77.25,108.41,61.54,39.92,0.06,20.48,20.28,20.64,20.93,77.28,78.45,74.92,73.47,144.23,116.39,84.84,2.69,20.5,20.62,19.97,20.31,77.61,76.92,81.05,80.83
62,101,125.11,27.25,9.95,0.07,21.27,20.17,19.94,20.42,73.49,84.33,82.48,77.26,108.41,61.5,39.92,0.1,20.48,20.28,20.63,20.92,77.27,78.39,74.87,73.46,144.23,116.39,84.8,2.69,20.5,20.62,19.98,20.3,77.37,76.89,80.94,80.83
63,102,125.22,27.22,10.03,0.07,21.25,20.12,19.92,20.41,73.43,84.31,82.53,77.24,108.48,61.5,39.92,0.06,20.49,20.27,20.64,20.93,77.27,78.37,74.87,73.48,144.3,116.43,84.84,2.69,20.5,20.61,19.99,20.31,77.2,76.83,80.84,80.89
64,103,125.11,27.22,9.95,0.07,21.23,20.18,19.96,20.41,73.37,84.34,82.58,77.24,108.33,61.46,39.89,0.06,20.5,20.28,20.64,20.92,77.26,78.35,74.84,73.44,144.16,116.31,84.8,2.69,20.51,20.59,19.99,20.31,77.09,76.8,80.71,80.88
65,104,125.25,27.25,9.95,0.07,21.27,20.14,19.97,20.39,73.38,84.25,82.58,77.26,108.48,61.54,39.96,0.06,20.48,20.26,20.66,20.92,77.16,78.27,74.85,73.4,144.3,116.46,84.87,2.69,20.53,20.61,19.99,20.3,77.02,76.78,80.62,80.88
66,105,125.33,27.22,9.95,0.07,21.24,20.15,19.97,20.42,73.3,84.23,82.58,77.33,108.56,61.57,39.96,0.06,20.49,20.26,20.68,20.92,77.1,78.24,74.84,73.37,144.42,116.54,84.91,2.69,20.52,20.59,19.99,20.3,76.93,76.68,80.58,80.93
67,106,125.25,27.22,9.99,0.03,21.23,20.14,19.97,20.43,73.23,84.22,82.57,77.39,108.48,61.57,39.96,0.06,20.48,20.26,20.67,20.94,77.06,78.24,74.78,73.34,144.34,116.46,84.84,2.69,20.52,20.59,19.98,20.29,76.87,76.65,80.48,80.92
68,107,125.22,27.22,9.99,0.07,21.23,20.17,19.96,20.42,73.18,84.22,82.56,77.44,108.48,61.64,39.92,0.06,20.49,20.26,20.66,20.95,76.99,78.24,74.74,73.28,144.3,116.43,84.84,2.69,20.49,20.59,19.97,20.28,76.84,76.58,80.4,80.92
69,108,125.18,27.22,9.95,0.07,21.22,20.17,19.96,20.4,73.11,84.24,82.56,77.45,108.45,61.54,39.92,0.06,20.47,20.28,20.66,20.93,76.81,78.27,74.72,73.24,144.3,116.46,84.87,2.73,20.52,20.61,19.96,20.29,76.87,76.57,80.4,80.92
70,109,125.03,27.18,9.95,0.07,21.26,20.17,19.94,20.42,73.12,84.24,82.55,77.54,108.3,61.43,39.89,0.06,20.46,20.29,20.66,20.93,76.66,78.3,74.71,73.24,144.16,116.35,84.77,2.69,20.49,20.63,19.97,20.31,76.84,76.53,80.48,80.89
71,110,125.18,27.22,9.95,0.07,21.27,20.15,19.93,20.41,73.1,84.21,82.54,77.6,108.41,61.46,39.92,0.06,20.49,20.27,20.65,20.92,76.49,78.32,74.71,73.22,144.3,116.46,84.84,2.69,20.48,20.61,20,20.31,76.87,76.51,80.59,80.89
72,111,125.22,27.22,9.95,0.07,21.27,20.17,19.91,20.4,73.01,84.22,82.53,77.66,108.45,61.5,39.92,0.06,20.49,20.26,20.65,20.93,76.39,78.31,74.7,73.23,144.3,116.43,84.84,2.69,20.5,20.59,20,20.32,76.9,76.48,80.68,80.89
73,112,125.18,27.25,10.03,0.07,21.24,20.14,19.95,20.4,72.93,84.2,82.58,77.68,108.45,61.5,39.92,0.06,20.49,20.27,20.65,20.91,76.34,78.32,74.73,73.28,144.27,116.43,84.84,2.69,20.53,20.63,20,20.3,76.96,76.48,80.77,80.85
74,113,125.11,27.22,9.95,0.07,21.27,20.15,19.96,20.41,72.91,84.14,82.65,77.72,108.41,61.46,39.92,0.06,20.51,20.28,20.67,20.93,76.34,78.38,74.78,73.28,144.19,116.35,84.77,2.69,20.52,20.61,19.99,20.32,76.98,76.46,80.75,80.86
75,114,125.25,27.25,9.95,0.07,21.25,20.16,19.95,20.43,72.84,84.11,82.64,77.75,108.48,61.54,39.96,0.06,20.46,20.26,20.68,20.92,76.31,78.36,74.83,73.3,144.42,116.5,84.87,2.69,20.53,20.59,20,20.29,77.05,76.49,80.83,80.86
76,115,125.11,27.22,9.95,0.07,21.24,20.14,19.91,20.42,72.77,84.04,82.6,77.74,108.41,61.61,39.89,0.06,20.5,20.28,20.68,20.96,76.33,78.39,74.86,73.34,144.19,116.39,84.8,2.69,20.52,20.59,19.99,20.29,77.07,76.5,80.85,80.87
77,116,125.11,27.22,9.95,0.07,21.24,20.19,19.95,20.41,72.72,84,82.65,77.73,108.37,61.57,39.89,0.06,20.47,20.26,20.65,20.96,76.38,78.38,74.84,73.34,144.16,116.31,84.77,2.69,20.51,20.62,20,20.28,77.06,76.54,80.84,80.86
78,117,124.93,27.18,9.92,0.07,21.23,20.16,19.94,20.38,72.65,83.93,82.68,77.7,108.22,61.5,39.85,0.06,20.48,20.27,20.69,20.97,76.49,78.4,74.9,73.37,144.01,116.2,84.66,2.69,20.51,20.61,19.98,20.27,77.12,76.53,80.84,80.86
79,118,125,27.18,9.95,0.07,21.28,20.15,19.94,20.42,72.64,83.8,82.68,77.67,108.26,61.5,39.85,0.06,20.47,20.28,20.67,20.94,76.58,78.41,74.87,73.35,144.05,116.24,84.69,2.69,20.51,20.62,20.01,20.3,77.17,76.59,80.87,80.89
80,119,124.93,27.14,9.95,0.07,21.27,20.12,19.94,20.4,72.61,83.77,82.74,77.62,108.3,61.43,39.85,0.06,20.5,20.27,20.67,20.93,76.73,78.41,74.86,73.34,144.01,116.24,84.69,2.69,20.51,20.6,20.01,20.3,77.16,76.56,80.87,80.83
81,120,125,27.18,9.95,0.07,21.28,20.16,19.95,20.4,72.55,83.74,82.76,77.63,108.3,61.43,39.85,0.1,20.51,20.27,20.67,20.94,76.92,78.41,74.92,73.41,144.12,116.24,84.69,2.69,20.5,20.63,20,20.3,77.1,76.56,80.93,80.74
82,121,125.11,27.18,9.92,0.07,21.26,20.14,19.97,20.39,72.52,83.53,82.84,77.65,108.33,61.46,39.89,0.1,20.51,20.26,20.69,20.93,77.02,78.39,74.94,73.46,144.19,116.31,84.73,2.69,20.54,20.6,19.99,20.27,77.1,76.54,80.91,80.71
83,122,125.14,27.18,9.95,0.07,21.26,20.14,19.97,20.42,72.5,83.45,82.91,77.68,108.41,61.5,39.89,0.1,20.52,20.28,20.7,20.93,77.15,78.42,74.96,73.52,144.3,116.39,84.8,2.69,20.54,20.61,20.01,20.31,77.04,76.52,80.96,80.72
84,123,125.07,27.14,9.99,0.07,21.26,20.15,19.97,20.42,72.51,83.36,82.96,77.68,108.33,61.46,39.89,0.1,20.5,20.27,20.7,20.94,77.16,78.37,74.95,73.57,144.19,116.31,84.77,2.69,20.54,20.6,19.99,20.28,77.01,76.45,81,80.66
85,124,125.11,27.14,9.95,0.07,21.25,20.18,19.94,20.43,72.52,83.26,82.93,77.68,108.33,61.46,39.89,0.06,20.49,20.27,20.69,20.98,77.27,78.36,74.97,73.67,144.12,116.31,84.73,2.69,20.53,20.63,20,20.28,76.99,76.46,81.07,80.63
86,125,125.11,27.18,9.92,0.07,21.24,20.18,19.97,20.41,72.52,83.14,83.03,77.66,108.37,61.61,39.89,0.06,20.49,20.28,20.67,20.97,77.4,78.37,74.95,73.73,144.19,116.35,84.77,2.69,20.55,20.62,20,20.28,77.02,76.45,81.1,80.57
87,126,125.22,27.18,9.92,0.07,21.23,20.17,19.95,20.41,72.51,83.01,83.1,77.66,108.41,61.61,39.92,0.06,20.5,20.28,20.69,20.97,77.5,78.35,74.99,73.79,144.3,116.39,84.84,2.69,20.53,20.61,20.02,20.29,76.99,76.43,81.13,80.51
88,127,125.07,27.14,9.92,0.07,21.26,20.14,19.96,20.4,72.52,82.97,83.2,77.66,108.33,61.57,39.89,0.06,20.49,20.3,20.67,20.96,77.68,78.39,75.03,73.82,144.19,116.27,84.73,2.69,20.52,20.59,20.03,20.29,76.99,76.4,81.14,80.43
89,128,125.03,27.14,9.92,0.07,21.26,20.16,19.97,20.38,72.52,82.97,83.29,77.62,108.26,61.54,39.85,0.06,20.5,20.31,20.67,20.96,77.8,78.42,75.11,73.84,144.12,116.24,84.69,2.69,20.51,20.61,20.02,20.28,77.05,76.43,81.13,80.39
90,129,125.11,27.14,9.92,0.07,21.27,20.14,19.99,20.38,72.5,82.91,83.42,77.59,108.33,61.61,39.89,0.1,20.51,20.31,20.66,20.96,77.89,78.42,75.15,73.84,144.19,116.31,84.73,2.69,20.51,20.6,20.01,20.29,77.01,76.43,81.11,80.38
91,130,125,27.14,9.92,0.07,21.27,20.15,19.99,20.39,72.47,82.88,83.52,77.62,108.26,61.5,39.85,0.06,20.51,20.32,20.7,20.98,78.02,78.42,75.26,73.87,144.05,116.24,84.66,2.69,20.51,20.6,20,20.28,76.96,76.46,81.18,80.43
92,131,125,27.18,9.92,0.07,21.23,20.14,19.99,20.42,72.42,82.88,83.62,77.69,108.3,61.5,39.85,0.06,20.48,20.29,20.7,20.97,78.03,78.39,75.3,73.88,144.05,116.24,84.66,2.69,20.54,20.61,20.01,20.3,76.96,76.51,81.23,80.43
93,132,124.96,27.18,9.95,0.07,21.28,20.18,19.96,20.42,72.44,82.9,83.64,77.75,108.22,61.46,39.85,0.06,20.5,20.31,20.71,20.94,78.13,78.44,75.32,73.87,144.01,116.2,84.66,2.69,20.54,20.64,20.01,20.27,76.96,76.6,81.3,80.51
